page_content,name,character,cost,rarity,type
Deal 6 damage. || Upgraded: Deal 9 damage.,Strike,All,1,Basic,Attack
Gain 5 Block. || Upgraded: Gain 8 Block.,Defend,All,1,Basic,Skill
Deal 8 damage. Apply 2 Vulnerable. || Upgraded: Deal 10 damage. Apply 3 Vulnerable.,Bash,Ironclad,2,Basic,Attack
Deal 3 damage. Apply 1 Weak. || Upgraded: Deal 4 damage. Apply 2 Weak.,Neutralize,Silent,0,Basic,Attack
Gain 8 Block. Discard 1 card. || Upgraded: Gain 11 Block. Discard 1 card.,Survivor,Silent,1,Basic,Skill
Channel 1 Lightning. || Upgraded: Channel 1 Lightning. Costs 0.,Zap,Defect,1,Basic,Skill
Evoke your next Orb. || Upgraded: Evoke your next Orb twice.,Dualcast,Defect,1,Basic,Skill
Deal 9 damage. Enter Wrath. || Upgraded: Costs 1. Deal 9 damage. Enter Wrath.,Eruption,Watcher,2,Basic,Attack
Enter Calm. Gain 8 Block. || Upgraded: Enter Calm. Gain 12 Block.,Vigilance,Watcher,2,Basic,Skill
Deal 6 damage. Add a copy of this card to your discard pile. || Upgraded: Deal 8 damage. Add a copy of this card to your discard pile.,Anger,Ironclad,0,Common,Attack
Gain 5 Block. Upgrade a card in your hand for the rest of combat. || Upgraded: Gain 5 Block. Upgrade ALL cards in your hand for the rest of combat.,Armaments,Ironclad,1,Common,Skill
Deal damage equal to your Block. || Upgraded: Deal damage equal to your Block. Costs 0.,Body Slam,Ironclad,1,Common,Attack
Can only be played if every card in your hand is an Attack. Deal 14 damage. || Upgraded: Can only be played if every card in your hand is an Attack. Deal 18 damage.,Clash,Ironclad,0,Common,Attack
Deal 8 damage to ALL enemies. || Upgraded: Deal 11 damage to ALL enemies.,Cleave,Ironclad,1,Common,Attack
Deal 12 damage. Apply 2 Weak. || Upgraded: Deal 14 damage. Apply 3 Weak.,Clothesline,Ironclad,2,Common,Attack
Gain 2 Strength. At the end of your turn, lose 2 Strength. || Upgraded: Gain 4 Strength. At the end of your turn, lose 4 Strength.,Flex,Ironclad,0,Common,Skill
Play the top card of your draw pile and Exhaust it. || Upgraded: Play the top card of your draw pile and Exhaust it. Costs 0.,Havoc,Ironclad,1,Common,Skill
Deal 9 damage. Put a card from your discard pile on top of your draw pile. || Upgraded: Deal 12 damage. Put a card from your discard pile on top of your draw pile.,Headbutt,Ironclad,1,Common,Attack
Deal 14 damage. Strength affects Heavy Blade 3 times. || Upgraded: Deal 14 damage. Strength affects Heavy Blade 5 times.,Heavy Blade,Ironclad,2,Common,Attack
Gain 5 Block. Deal 5 damage. || Upgraded: Gain 7 Block. Deal 7 damage.,Iron Wave,Ironclad,1,Common,Attack
Deal 6 damage. Deals an additional 2 damage for ALL of your cards containing "Strike". || Upgraded: Deal 6 damage. Deals an additional 3 damage for ALL of your cards containing "Strike".,Perfected Strike,Ironclad,2,Common,Attack
Deal 9 damage. Draw 1 card. || Upgraded: Deal 10 damage. Draw 2 cards.,Pommel Strike,Ironclad,1,Common,Attack
Gain 8 Block. Draw 1 card. || Upgraded: Gain 11 Block. Draw 1 card.,Shrug It Off,Ironclad,1,Common,Skill
Deal 3 damage to a random enemy 3 times. || Upgraded: Deal 3 damage to a random enemy 4 times.,Sword Boomerang,Ironclad,1,Common,Attack
Deal 4 damage and apply 1 Vulnerable to ALL enemies. || Upgraded: Deal 7 damage and apply 1 Vulnerable to ALL enemies.,Thunderclap,Ironclad,1,Common,Attack
Gain 7 Block. Exhaust a random card from your hand. || Upgraded: Gain 9 Block. Exhaust a card from your hand.,True Grit,Ironclad,1,Common,Skill
Deal 5 damage twice. || Upgraded: Deal 7 damage twice.,Twin Strike,Ironclad,1,Common,Attack
Draw 1 card. Place a card from your hand on top of your draw pile. || Upgraded: Draw 2 cards. Place a card from your hand on top of your draw pile.,War Cry,Ironclad,0,Common,Skill
Deal 12 damage. Shuffle a Wound into your draw pile. || Upgraded: Deal 17 damage. Shuffle a Wound into your draw pile.,Wild Strike,Ironclad,1,Common,Attack
Draw 3 cards. You cannot draw additional cards this turn. || Upgraded: Draw 4 cards. You cannot draw additional cards this turn.,Battle Trance,Ironclad,0,Uncommon,Skill
Costs 1 less for each time you lose HP this combat. Deal 18 damage. || Upgraded: Costs 1 less for each time you lose HP this combat. Deal 22 damage.,Blood for Blood,Ironclad,4,Uncommon,Attack
Lose 3 HP. Gain 2 Energy. || Upgraded: Lose 3 HP. Gain 3 Energy.,Bloodletting,Ironclad,0,Uncommon,Skill
Exhaust 1 card. Draw 2 cards. || Upgraded: Exhaust 1 card. Draw 3 cards.,Burning Pact,Ironclad,1,Uncommon,Skill
Ethereal. Deal 20 damage. || Upgraded: Ethereal. Deal 28 damage.,Carnage,Ironclad,2,Uncommon,Attack
At the end of your turn, lose 1 HP and deal 5 damage to ALL enemies. || Upgraded: At the end of your turn, lose 1 HP and deal 7 damage to ALL enemies.,Combust,Ironclad,1,Uncommon,Power
Whenever a card is Exhausted, draw 1 card. || Upgraded: Costs 1. Whenever a card is Exhausted, draw 1 card.,Dark Embrace,Ironclad,2,Uncommon,Power
Enemy loses 2 Strength. Exhaust. || Upgraded: Enemy loses 3 Strength. Exhaust.,Disarm,Ironclad,1,Uncommon,Skill
Deal 5 damage. If the enemy is Vulnerable, gain 1 Energy and draw 1 card. || Upgraded: Deal 8 damage. If the enemy is Vulnerable, gain 1 Energy and draw 1 card.,Dropkick,Ironclad,1,Uncommon,Attack
Create a copy of an Attack or Power card in your hand. || Upgraded: Create 2 copies of an Attack or Power card in your hand.,Dual Wield,Ironclad,1,Uncommon,Skill
Double your current Block. || Upgraded: Costs 1. Double your current Block.,Entrench,Ironclad,2,Uncommon,Skill
Whenever you draw a Status, draw 1 card. || Upgraded: Whenever you draw a Status, draw 2 cards.,Evolve,Ironclad,1,Uncommon,Power
Whenever a card is Exhausted, gain 3 Block. || Upgraded: Whenever a card is Exhausted, gain 4 Block.,Feel No Pain,Ironclad,1,Uncommon,Power
Whenever you draw a Status or Curse card, deal 6 damage to all enemies. || Upgraded: Whenever you draw a Status or Curse card, deal 10 damage to all enemies.,Fire Breathing,Ironclad,1,Uncommon,Power
Gain 12 Block. Whenever you are attacked this turn, deal 4 damage back. || Upgraded: Gain 16 Block. Whenever you are attacked this turn, deal 6 damage back.,Flame Barrier,Ironclad,2,Uncommon,Skill
Ethereal. Gain 10 Block. || Upgraded: Ethereal. Gain 13 Block.,Ghostly Armor,Ironclad,1,Uncommon,Skill
Lose 2 HP. Deal 15 damage. || Upgraded: Lose 2 HP. Deal 20 damage.,Hemokinesis,Ironclad,1,Uncommon,Attack
Add a random Attack to your hand. It costs 0 this turn. Exhaust. || Upgraded: Costs 0. Add a random Attack to your hand. It costs 0 this turn. Exhaust.,Infernal Blade,Ironclad,1,Uncommon,Skill
Gain 2 Strength. || Upgraded: Gain 3 Strength.,Inflame,Ironclad,1,Uncommon,Power
Apply 1 Weak to ALL enemies. Exhaust. || Upgraded: Apply 2 Weak to ALL enemies. Exhaust.,Intimidate,Ironclad,0,Uncommon,Skill
At the end of your turn, gain 3 Block. || Upgraded: At the end of your turn, gain 4 Block.,Metallicize,Ironclad,1,Uncommon,Power
Gain 15 Block. Add 2 Wounds to your hand. || Upgraded: Gain 20 Block. Add 2 Wounds to your hand.,Power Through,Ironclad,1,Uncommon,Skill
Deal 2 damage 4 times. Exhaust. || Upgraded: Deal 2 damage 5 times. Exhaust.,Pummel,Ironclad,1,Uncommon,Attack
Whenever you play an Attack this turn, gain 3 Block. || Upgraded: Whenever you play an Attack this turn, gain 5 Block.,Rage,Ironclad,0,Uncommon,Skill
Deal 8 damage. Increase this card's damage by 5 this combat. || Upgraded: Deal 8 damage. Increase this card's damage by 8 this combat.,Rampage,Ironclad,1,Uncommon,Attack
Deal 7 damage. Shuffle a Dazed into your draw pile. || Upgraded: Deal 10 damage. Shuffle a Dazed into your draw pile.,Reckless Charge,Ironclad,0,Uncommon,Attack
Whenever you lose HP from a card, gain 1 Strength. || Upgraded: Whenever you lose HP from a card, gain 2 Strength.,Rupture,Ironclad,1,Uncommon,Power
Deal 12 damage. Can be upgraded any number of times. || Upgraded: Deal 16 damage. Can be upgraded any number of times.,Searing Blow,Ironclad,2,Uncommon,Attack
Exhaust all non-Attack cards in your hand. Gain 5 Block for each card Exhausted. || Upgraded: Exhaust all non-Attack cards in your hand. Gain 7 Block for each card Exhausted.,Second Wind,Ironclad,1,Uncommon,Skill
Gain 2 Energy. Exhaust. || Upgraded: Costs 0. Gain 2 Energy. Exhaust.,Seeing Red,Ironclad,1,Uncommon,Skill
Gain 5 Block. If this card is Exhausted, gain 2 Energy. || Upgraded: Gain 8 Block. If this card is Exhausted, gain 3 Energy.,Sentinel,Ironclad,1,Uncommon,Skill
Exhaust all non-Attack cards in your hand. Deal 16 damage. || Upgraded: Exhaust all non-Attack cards in your hand. Deal 22 damage.,Sever Soul,Ironclad,2,Uncommon,Attack
Apply 3 Weak and Vulnerable to ALL enemies. Exhaust. || Upgraded: Apply 5 Weak and Vulnerable to ALL enemies. Exhaust.,Shockwave,Ironclad,2,Uncommon,Skill
If the enemy intends to attack, gain 3 Strength. || Upgraded: If the enemy intends to attack, gain 4 Strength.,Spot Weakness,Ironclad,1,Uncommon,Skill
Deal 13 damage. Apply 1 Weak. Apply 1 Vulnerable. || Upgraded: Deal 13 damage. Apply 2 Weak. Apply 2 Vulnerable.,Uppercut,Ironclad,2,Uncommon,Attack
Deal 5 damage to ALL enemies X times. || Upgraded: Deal 8 damage to ALL enemies X times.,Whirlwind,Ironclad,X,Uncommon,Attack
Block is not removed at the start of your turn. || Upgraded: Costs 2. Block is not removed at the start of your turn.,Barricade,Ironclad,3,Rare,Power
Gain 2 Vulnerable. At the start of your turn, gain 1 Energy. || Upgraded: Gain 1 Vulnerable. At the start of your turn, gain 1 Energy.,Berserk,Ironclad,0,Rare,Power
Deal 32 damage. || Upgraded: Deal 42 damage.,Bludgeon,Ironclad,3,Rare,Attack
At the start of your turn, lose 1 HP and draw 1 card. || Upgraded: Innate. At the start of your turn, lose 1 HP and draw 1 card.,Brutality,Ironclad,0,Rare,Power
Skills cost 0. Whenever you play a Skill, Exhaust it. || Upgraded: Costs 2. Skills cost 0. Whenever you play a Skill, Exhaust it.,Corruption,Ironclad,3,Rare,Power
At the start of each turn, gain 2 Strength. || Upgraded: At the start of each turn, gain 3 Strength.,Demon Form,Ironclad,3,Rare,Power
This turn, your next Attack is played twice. || Upgraded: This turn, your next 2 Attacks are played twice.,Double Tap,Ironclad,1,Rare,Skill
Put a card from your Exhaust pile into your hand. Exhaust. || Upgraded: Costs 0. Put a card from your Exhaust pile into your hand. Exhaust.,Exhume,Ironclad,1,Rare,Skill
Deal 10 damage. If this kills a non-minion enemy, gain 3 permanent Max HP. Exhaust. || Upgraded: Deal 12 damage. If this kills a non-minion enemy, gain 4 permanent Max HP. Exhaust.,Feed,Ironclad,1,Rare,Attack
Exhaust all cards in your hand. Deal 7 damage for each Exhausted card. Exhaust. || Upgraded: Exhaust all cards in your hand. Deal 10 damage for each Exhausted card. Exhaust.,Fiend Fire,Ironclad,2,Rare,Attack
Deal 21 damage to ALL enemies. Add a Burn to your discard pile. || Upgraded: Deal 28 damage to ALL enemies. Add a Burn to your discard pile.,Immolate,Ironclad,2,Rare,Attack
Gain 30 Block. Exhaust. || Upgraded: Gain 40 Block. Exhaust.,Impervious,Ironclad,2,Rare,Skill
Whenever you gain Block, deal 5 damage to a random enemy. || Upgraded: Whenever you gain Block, deal 7 damage to a random enemy.,Juggernaut,Ironclad,2,Rare,Power
Double your Strength. Exhaust. || Upgraded: Double your Strength.,Limit Break,Ironclad,1,Rare,Skill
Lose 6 HP. Gain 2 Energy. Draw 3 cards. Exhaust. || Upgraded: Lose 6 HP. Gain 2 Energy. Draw 5 cards. Exhaust.,Offering,Ironclad,0,Rare,Skill
Deal 4 damage to ALL enemies. Heal HP equal to unblocked damage. Exhaust. || Upgraded: Deal 5 damage to ALL enemies. Heal HP equal to unblocked damage. Exhaust.,Reaper,Ironclad,2,Rare,Attack
Draw 3 cards. Discard 1 card. || Upgraded: Draw 4 cards. Discard 1 card.,Acrobatics,Silent,1,Common,Skill
Gain 5 Block. Draw 2 cards. || Upgraded: Gain 8 Block. Draw 2 cards.,Backflip,Silent,1,Common,Skill
Deal 7 damage. If the enemy has Poison, deal 7 more damage. || Upgraded: Deal 10 damage. If the enemy has Poison, deal 10 more damage.,Bane,Silent,1,Common,Attack
Add 3 Shivs to your hand. || Upgraded: Add 4 Shivs to your hand.,Blade Dance,Silent,1,Common,Skill
Gain 6 Block. Add 1 Shiv to your hand. || Upgraded: Gain 6 Block. Add 2 Shivs to your hand.,Cloak and Dagger,Silent,1,Common,Skill
Deal 4 damage to ALL enemies twice. || Upgraded: Deal 6 damage to ALL enemies twice.,Dagger Spray,Silent,1,Common,Attack
Deal 9 damage. Draw 1 card. Discard 1 card. || Upgraded: Deal 12 damage. Draw 1 card. Discard 1 card.,Dagger Throw,Silent,1,Common,Attack
Apply 5 Poison. || Upgraded: Apply 7 Poison.,Deadly Poison,Silent,1,Common,Skill
Gain 4 Block. || Upgraded: Gain 7 Block.,Deflect,Silent,0,Common,Skill
Gain 4 Block. Next turn, gain 4 Block. || Upgraded: Gain 6 Block. Next turn, gain 6 Block.,Dodge and Roll,Silent,1,Common,Skill
Deal 8 damage. Next turn, gain 1 Energy. || Upgraded: Deal 11 damage. Next turn, gain 1 Energy.,Flying Knee,Silent,1,Common,Attack
Next turn, gain 2 Energy. || Upgraded: Next turn, gain 3 Energy.,Outmaneuver,Silent,1,Common,Skill
ALL enemies lose 6 Strength for 1 turn. Exhaust. || Upgraded: ALL enemies lose 8 Strength for 1 turn. Exhaust.,Piercing Wail,Silent,1,Common,Skill
Deal 6 damage. Apply 3 Poison. || Upgraded: Deal 8 damage. Apply 4 Poison.,Poisoned Stab,Silent,1,Common,Attack
Draw 1 card. Discard 1 card. || Upgraded: Draw 2 cards. Discard 2 cards.,Prepared,Silent,0,Common,Skill
Deal 8 damage. Draw 1 card. || Upgraded: Deal 12 damage. Draw 1 card.,Quick Slash,Silent,1,Common,Attack
Deal 5 damage. || Upgraded: Deal 8 damage.,Slice,Silent,0,Common,Attack
Deal 10 damage. If you have discarded a card this turn, gain 2 Energy. || Upgraded: Deal 14 damage. If you have discarded a card this turn, gain 2 Energy.,Sneaky Strike,Silent,2,Common,Attack
Deal 7 damage. Apply 1 Weak. || Upgraded: Deal 9 damage. Apply 2 Weak.,Sucker Punch,Silent,1,Common,Attack
Shivs deal 4 additional damage. || Upgraded: Shivs deal 6 additional damage.,Accuracy,Silent,1,Uncommon,Power
Deal 10 damage to ALL enemies. Discard 1 card at random. || Upgraded: Deal 14 damage to ALL enemies. Discard 1 card at random.,All-Out Attack,Silent,1,Uncommon,Attack
Innate. Deal 11 damage. Exhaust. || Upgraded: Innate. Deal 15 damage. Exhaust.,Backstab,Silent,0,Uncommon,Attack
Gain 5 Block. Block is not removed at the start of your next turn. || Upgraded: Gain 8 Block. Block is not removed at the start of your next turn.,Blur,Silent,1,Uncommon,Skill
Apply 3 Poison to a random enemy 3 times. || Upgraded: Apply 3 Poison to a random enemy 4 times.,Bouncing Flask,Silent,2,Uncommon,Skill
Cannot draw additional cards this turn. Reduce the cost of cards in your hand to 0 this turn. || Upgraded: Costs 2. Cannot draw additional cards this turn. Reduce the cost of cards in your hand to 0 this turn.,Bullet Time,Silent,3,Uncommon,Skill
This turn, your next Skill is played twice. || Upgraded: This turn, your next 2 Skills are played twice.,Burst,Silent,1,Uncommon,Skill
Discard your hand, then draw that many cards. Exhaust. || Upgraded: Discard your hand, then draw that many cards.,Calculated Gamble,Silent,0,Uncommon,Skill
Whenever you are attacked, deal 3 damage back. || Upgraded: Whenever you are attacked, deal 5 damage back.,Caltrops,Silent,1,Uncommon,Power
Double an enemy's Poison. Exhaust. || Upgraded: Triple an enemy's Poison. Exhaust.,Catalyst,Silent,1,Uncommon,Skill
Deal 12 damage. Whenever you play a card this turn, the targeted enemy loses 3 HP. || Upgraded: Deal 12 damage. Whenever you play a card this turn, the targeted enemy loses 5 HP.,Choke,Silent,2,Uncommon,Attack
Discard 3 cards. Gain 2 Energy. || Upgraded: Discard 2 cards. Gain 2 Energy.,Concentrate,Silent,0,Uncommon,Skill
Apply 4 Poison and 2 Weak to ALL enemies. Exhaust. || Upgraded: Apply 7 Poison and 2 Weak to ALL enemies. Exhaust.,Crippling Cloud,Silent,2,Uncommon,Skill
Gain 10 Block. Deal 10 damage. || Upgraded: Gain 13 Block. Deal 13 damage.,Dash,Silent,2,Uncommon,Attack
Add a random Skill into your hand. It costs 0 this turn. Exhaust. || Upgraded: Costs 0. Add a random Skill into your hand. It costs 0 this turn. Exhaust.,Distraction,Silent,1,Uncommon,Skill
Whenever you draw this card, add a copy of it to your hand. Deal 4 damage. Exhaust. || Upgraded: Whenever you draw this card, add a copy of it to your hand. Deal 6 damage. Exhaust.,Endless Agony,Silent,0,Uncommon,Attack
Draw 1 card. If you draw a Skill, gain 3 Block. || Upgraded: Draw 1 card. If you draw a Skill, gain 5 Block.,Escape Plan,Silent,0,Uncommon,Skill
Costs 1 less for each card discarded this turn. Deal 7 damage 3 times. || Upgraded: Costs 1 less for each card discarded this turn. Deal 9 damage 3 times.,Eviscerate,Silent,3,Uncommon,Attack
Draw cards until you have 6 cards in your hand. || Upgraded: Draw cards until you have 7 cards in your hand.,Expertise,Silent,1,Uncommon,Skill
Deal 6 damage for each Attack played this turn. || Upgraded: Deal 8 damage for each Attack played this turn.,Finisher,Silent,1,Uncommon,Attack
Deal 4 damage for each Skill in your hand. || Upgraded: Deal 6 damage for each Skill in your hand.,Flechettes,Silent,1,Uncommon,Attack
Gain 2 Dexterity. || Upgraded: Gain 3 Dexterity.,Footwork,Silent,1,Uncommon,Power
Deal 5 damage. If the enemy is Weak, gain 1 Energy and draw 1 card. || Upgraded: Deal 8 damage. If the enemy is Weak, gain 1 Energy and draw 1 card.,Heel Hook,Silent,1,Uncommon,Attack
At the start of your turn, add a Shiv to your hand. || Upgraded: Innate. At the start of your turn, add a Shiv to your hand.,Infinite Blades,Silent,1,Uncommon,Power
Apply 2 Weak. Gain 11 Block. || Upgraded: Apply 3 Weak. Gain 14 Block.,Leg Sweep,Silent,2,Uncommon,Skill
Costs 1 more for each time you lose HP this combat. Deal 12 damage. || Upgraded: Costs 1 more for each time you lose HP this combat. Deal 16 damage.,Masterful Stab,Silent,0,Uncommon,Attack
At the start of your turn, apply 2 Poison to ALL enemies. || Upgraded: At the start of your turn, apply 3 Poison to ALL enemies.,Noxious Fumes,Silent,1,Uncommon,Power
Deal 15 damage. Draw 2 more cards next turn. || Upgraded: Deal 20 damage. Draw 2 more cards next turn.,Predator,Silent,2,Uncommon,Attack
Unplayable. If this card is discarded from your hand, draw 2 cards. || Upgraded: Unplayable. If this card is discarded from your hand, draw 3 cards.,Reflex,Silent,0,Uncommon,Skill
Deal 3 damage 5 times. || Upgraded: Deal 4 damage 5 times.,Riddle with Holes,Silent,2,Uncommon,Attack
Place a card from your hand on top of your draw pile. It costs 0 until it is played. || Upgraded: Costs 0. Place a card from your hand on top of your draw pile. It costs 0 until it is played.,Setup,Silent,1,Uncommon,Skill
Deal 7 damage X times. || Upgraded: Deal 10 damage X times.,Skewer,Silent,X,Uncommon,Attack
Unplayable. If this card is discarded from your hand, gain 1 Energy. || Upgraded: Unplayable. If this card is discarded from your hand, gain 2 Energy.,Tactician,Silent,0,Uncommon,Skill
Apply 99 Vulnerable. Exhaust. || Upgraded: Costs 0. Apply 99 Vulnerable. Exhaust.,Terror,Silent,1,Uncommon,Skill
At the end of your turn, Retain up to 1 card. || Upgraded: At the end of your turn, Retain up to 2 cards.,Well-Laid Plans,Silent,1,Uncommon,Power
Whenever you play a card, deal 1 damage to ALL enemies. || Upgraded: Whenever you play a card, deal 2 damage to ALL enemies.,A Thousand Cuts,Silent,2,Rare,Power
Gain 1 Energy. Draw 2 cards. Exhaust. || Upgraded: Gain 2 Energy. Draw 2 cards. Exhaust.,Adrenaline,Silent,0,Rare,Skill
Whenever you play a card, gain 1 Block. || Upgraded: Innate. Whenever you play a card, gain 1 Block.,After Image,Silent,1,Rare,Power
Obtain a random potion. Exhaust. || Upgraded: Costs 0. Obtain a random potion. Exhaust.,Alchemize,Silent,1,Rare,Skill
Apply 6 Poison. When the enemy dies, deal damage equal to its max HP to ALL enemies. || Upgraded: Apply 9 Poison. When the enemy dies, deal damage equal to its max HP to ALL enemies.,Corpse Explosion,Silent,2,Rare,Skill
Deal 13 damage to ALL enemies. Exhaust. || Upgraded: Deal 17 damage to ALL enemies. Exhaust.,Die Die Die,Silent,1,Rare,Attack
Next turn, draw X cards and gain X Energy. Exhaust. || Upgraded: Next turn, draw X+1 cards and gain X+1 Energy. Exhaust.,Doppelganger,Silent,X,Rare,Skill
Whenever an attack deals unblocked damage, apply 1 Poison. || Upgraded: Costs 1. Whenever an attack deals unblocked damage, apply 1 Poison.,Envenom,Silent,2,Rare,Power
Deal 8 damage twice. Decrease the damage of this card by 2 this combat. || Upgraded: Deal 12 damage twice. Decrease the damage of this card by 2 this combat.,Glass Knife,Silent,1,Rare,Attack
Can only be played if there are no cards in your draw pile. Deal 50 damage to ALL enemies. || Upgraded: Can only be played if there are no cards in your draw pile. Deal 60 damage to ALL enemies.,Grand Finale,Silent,0,Rare,Attack
Enemy loses X Strength. Apply X Weak. Exhaust. || Upgraded: Enemy loses X+1 Strength. Apply X+1 Weak. Exhaust.,Malaise,Silent,X,Rare,Skill
Choose a card. Next turn, add 3 copies of that card into your hand. Exhaust. || Upgraded: Costs 2. Choose a card. Next turn, add 3 copies of that card into your hand. Exhaust.,Nightmare,Silent,3,Rare,Skill
Next turn, your Attacks deal double damage. || Upgraded: Costs 0. Next turn, your Attacks deal double damage.,Phantasmal Killer,Silent,1,Rare,Skill
Discard your hand. Add 1 Shiv to your hand for each card discarded. || Upgraded: Discard your hand. Add 1 Shiv+ to your hand for each card discarded.,Storm of Steel,Silent,1,Rare,Skill
At the start of your turn, draw 1 card and discard 1 card. || Upgraded: Costs 0. At the start of your turn, draw 1 card and discard 1 card.,Tools of the Trade,Silent,1,Rare,Power
Deal 14 damage. Discard all non-Attack cards in your hand. || Upgraded: Deal 18 damage. Discard all non-Attack cards in your hand.,Unload,Silent,1,Rare,Attack
Gain 2 Intangible. At the end of your turn, lose 1 Dexterity. || Upgraded: Gain 3 Intangible. At the end of your turn, lose 1 Dexterity.,Wraith Form,Silent,3,Rare,Power
Deal 7 damage. Channel 1 Lightning. || Upgraded: Deal 10 damage. Channel 1 Lightning.,Ball Lightning,Defect,1,Common,Attack
Deal damage for each of your Channeled Orbs. || Upgraded: Deal damage for each of your Channeled Orbs. Hits 4 times.,Barrage,Defect,1,Common,Attack
Deal 3 damage. Apply 1 Vulnerable. || Upgraded: Deal 4 damage. Apply 2 Vulnerable.,Beam Cell,Defect,0,Common,Attack
Gain 7 Block. Next turn, gain 1 Energy. || Upgraded: Gain 10 Block. Next turn, gain 1 Energy.,Charge Battery,Defect,1,Common,Skill
Deal 3 damage. All Claw cards deal 2 additional damage this combat. || Upgraded: Deal 5 damage. All Claw cards deal 2 additional damage this combat.,Claw,Defect,0,Common,Attack
Deal 6 damage. Channel 1 Frost. || Upgraded: Deal 9 damage. Channel 1 Frost.,Cold Snap,Defect,1,Common,Attack
Deal 7 damage. Draw 1 card for each unique Orb you have. || Upgraded: Deal 10 damage. Draw 1 card for each unique Orb you have.,Compile Driver,Defect,1,Common,Attack
Channel 1 Frost. Draw 1 card. || Upgraded: Channel 1 Frost. Draw 2 cards.,Coolheaded,Defect,1,Common,Skill
Deal 3 damage. If the enemy intends to attack, apply 1 Weak. || Upgraded: Deal 4 damage. If the enemy intends to attack, apply 2 Weak.,Go for the Eyes,Defect,0,Common,Attack
Gain 3 Block. Return a card from your discard pile to your hand. || Upgraded: Gain 5 Block. Return a card from your discard pile to your hand.,Hologram,Defect,1,Common,Skill
Gain 9 Block. || Upgraded: Gain 12 Block.,Leap,Defect,1,Common,Skill
Deal 9 damage. Put the next card you play this turn on top of your draw pile. || Upgraded: Deal 12 damage. Put the next card you play this turn on top of your draw pile.,Rebound,Defect,1,Common,Attack
Evoke your next Orb. Channel the Orb that was just Evoked. || Upgraded: Costs 0. Evoke your next Orb. Channel the Orb that was just Evoked.,Recursion,Defect,1,Common,Skill
Gain Block equal to the number of cards in your discard pile. || Upgraded: Gain Block equal to the number of cards in your discard pile + 3.,Stack,Defect,1,Common,Skill
Gain 6 Block. Decrease this card's Block by 1 this combat. || Upgraded: Gain 8 Block. Decrease this card's Block by 1 this combat.,Steam Barrier,Defect,0,Common,Skill
Deal 15 damage. Whenever you play this card, reduce its cost by 1 for this combat. || Upgraded: Deal 20 damage. Whenever you play this card, reduce its cost by 1 for this combat.,Streamline,Defect,2,Common,Attack
Deal 6 damage to ALL enemies. Draw 1 card. || Upgraded: Deal 9 damage to ALL enemies. Draw 1 card.,Sweeping Beam,Defect,1,Common,Attack
Gain 2 Energy. Add a Void to your discard pile. || Upgraded: Gain 3 Energy. Add a Void to your discard pile.,TURBO,Defect,0,Common,Skill
Gain Energy equal to the number of cards in your draw pile divided by 5. || Upgraded: Gain Energy equal to the number of cards in your draw pile divided by 4.,Aggregate,Defect,1,Uncommon,Skill
If you have no Block, gain 11 Block. || Upgraded: If you have no Block, gain 15 Block.,Auto-Shields,Defect,1,Uncommon,Skill
Deal damage equal to 2 times the number of Frost Channeled this combat to ALL enemies. || Upgraded: Deal damage equal to 3 times the number of Frost Channeled this combat to ALL enemies.,Blizzard,Defect,1,Uncommon,Attack
Innate. Gain 10 Block. Exhaust. || Upgraded: Innate. Gain 13 Block. Exhaust.,Boot Sequence,Defect,0,Uncommon,Skill
Deal 8 damage. Apply 2 Lock-On. || Upgraded: Deal 11 damage. Apply 3 Lock-On.,Bullseye,Defect,1,Uncommon,Attack
Gain 2 Orb slots. || Upgraded: Gain 3 Orb slots.,Capacitor,Defect,1,Uncommon,Power
Channel 1 random Orb. || Upgraded: Channel 2 random Orbs.,Chaos,Defect,1,Uncommon,Skill
